dateCollected,transectNum,rosemaryNum,nearFar,depth,massBag,massActual,seedAbundance,abundanceMass,abundanceVolume,dateCounted,vegCover,comments,,
23-Sep,402,41,F,0-4,343.08,336.08,0,0,0,31-Oct,4,,,
23-Sep,402,41,F,4-8,383.78,376.78,0,0,0,31-Oct,4,,,
23-Sep,402,41,N,NA,844.12,837.12,0,0,0,31-Oct,4,,,
23-Sep,403,42,N,NA,665.28,658.28,0,0,0,1-Nov,1,,,
23-Sep,403,42,F,0-4,440.69,433.69,12,0.027669534,0.076394389,2-Nov,1,,,
23-Sep,403,42,F,4-8,433.1,426.1,0,0,0,3-Nov,1,,,
23-Sep,404,43,F,0-4,416.46,409.46,0,0,0,31-Oct,0,,,
23-Sep,404,43,N,NA,614.72,607.72,0,0,0,31-Oct,0,,,
23-Sep,409,48,N,NA,694.72,687.72,0,0,0,31-Oct,1,likely 409 not 404,,
23-Sep,404,43,F,4-8,384.76,377.76,0,0,0,31-Oct,0,SOMETHING WEIRD DIDNT DO YET (think its okay),,
23-Sep,405,44,F,4-8,475.31,468.31,0,0,0,1-Nov,0,,,
23-Sep,405,44,N,NA,792.44,785.44,0,0,0,2-Nov,0,,,
23-Sep,405,44,F,0-4,353.05,346.05,0,0,0,3-Nov,0,,,
23-Sep,406,45,N,NA,655.92,648.92,0,0,0,1-Nov,0,,,
23-Sep,406,45,F,4-8,418.14,411.14,0,0,0,2-Nov,0,,,
23-Sep,406,45,F,0-4,322.68,315.68,0,0,0,4-Nov,0,,,
23-Sep,407,46,F,0-4,387.73,380.73,3,0.0078796,0.019098597,25-Oct,7,,,I think it's ok
23-Sep,407,46,F,4-8,429.3,422.3,0,0,0,31-Oct,7,,,
23-Sep,407,46,N,NA,598.18,591.18,0,0,0,3-Nov,7,,,
23-Sep,408,47,N,NA,703.66,696.66,0,0,0,25-Oct,0,,,
23-Sep,408,47,F,4-8,389.52,382.52,0,0,0,25-Oct,0,,,
23-Sep,408,47,F,0-4,347.88,340.88,0,0,0,2-Nov,0,,,
23-Sep,409,48,F,4-8,395.1,388.1,0,0,0,25-Oct,1,,,
23-Sep,409,48,F,0-4,410.47,403.47,0,0,0,25-Oct,1,,,
23-Sep,410,50,F,4-8,346.69,339.69,0,0,0,4-Nov,11,,,
23-Sep,410,50,N,NA,818.63,811.63,5,0.006160443,0.031830995,4-Nov,11,,,
23-Sep,410,50,F,0-4,395.38,388.38,7,0.018023585,0.044563393,4-Nov,11,One of the seeds split in 2 but I still counted as 1,,
23-Sep,411,49,F,0-4,384.43,377.43,0,0,0,25-Oct,2,,,
23-Sep,411,49,F,4-8,305.32,298.32,0,0,0,25-Oct,2,,,
23-Sep,411,49,N,NA,707.15,700.15,1,0.001428265,0.006366199,3-Nov,2,Seed is in questionable condition but I think it still counts??,,
23-Sep,412,50,N,NA,640.15,633.15,0,0,0,25-Oct,0,,,
23-Sep,412,50,F,4-8,302.3,295.3,0,0,0,25-Oct,0,,,
23-Sep,412,50,F,0-4,383.69,376.69,0,0,0,25-Oct,0,,,
